City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,namibe,-15.1961,12.1522,20.53,76,98,2.82,AO,1675914817
1,pontianak,-0.0333,109.3333,29.99,70,75,1.54,ID,1675914817
2,albany,42.6001,-73.9662,0.88,80,81,1.23,US,1675914817
3,filingue,14.3521,3.3168,22.03,16,81,5.01,NE,1675914818
4,balikpapan,-1.2675,116.8289,27.55,74,20,1.03,ID,1675914818
5,mahebourg,-20.4081,57.7,27.36,83,75,5.14,MU,1675914756
6,rikitea,-23.1203,-134.9692,26.75,73,4,6.4,PF,1675914650
7,kewanee,41.2456,-89.9248,3.6,68,100,2.74,US,1675914744
8,barrow,71.2906,-156.7887,-20.99,77,100,0.0,US,1675914818
9,hofn,64.2539,-15.2082,-4.57,47,0,7.03,IS,1675914819
10,nawa,27.0167,75.0,20.0,30,0,3.12,IN,1675914819
11,yellowknife,62.456,-114.3525,-21.36,84,75,4.12,CA,1675914639
12,mataura,-46.1927,168.8643,13.04,62,87,3.91,NZ,1675914639
13,litovko,49.2361,135.1742,-19.92,81,57,0.77,RU,1675914819
14,chokurdakh,70.6333,147.9167,-31.94,96,100,2.44,RU,1675914820
15,dubbo,-32.25,148.6167,28.07,47,75,8.75,AU,1675914820
16,puerto ayora,-0.7393,-90.3518,26.42,92,75,2.68,EC,1675914659
17,kruisfontein,-34.0033,24.7314,17.16,80,95,1.07,ZA,1675914820
18,chuy,-33.6971,-53.4616,21.56,93,32,3.22,UY,1675914665
19,nantucket,41.2835,-70.0995,5.08,67,0,4.63,US,1675914821
20,ushuaia,-54.8,-68.3,9.81,87,20,4.12,AR,1675914821
21,saint-pierre,-21.3393,55.4781,26.82,57,0,1.03,RE,1675914525
22,bone,51.9669,12.1396,-3.75,83,6,3.87,DE,1675914821
23,port alfred,-33.5906,26.891,19.54,98,100,1.63,ZA,1675914626
24,ondjiva,-17.0667,15.7333,19.62,56,99,3.89,AO,1675914822
25,kapaa,22.0752,-159.319,26.99,72,0,8.75,US,1675914822
26,sovetskiy,61.3614,63.5842,-3.92,83,90,5.57,RU,1675914822
27,hobart,-42.8794,147.3294,22.37,56,75,5.66,AU,1675914823
28,yulara,-25.2406,130.9889,38.68,12,5,2.54,AU,1675914823
29,provideniya,64.3833,-173.3,-20.94,65,100,5.0,RU,1675914823
30,vaini,-21.2,-175.2,29.09,79,75,2.06,TO,1675914653
31,bredasdorp,-34.5322,20.0403,18.06,83,1,3.91,ZA,1675914823
32,east london,-33.0153,27.9116,19.52,94,100,1.03,ZA,1675914824
33,busselton,-33.65,115.3333,27.94,35,0,1.3,AU,1675914656
34,avarua,-21.2078,-159.775,28.03,74,40,5.66,CK,1675914638
35,airai,-8.9266,125.4092,20.65,77,98,1.88,TL,1675914824
36,saint-philippe,-21.3585,55.7679,27.77,82,67,5.18,RE,1675914824
37,fortuna,40.5982,-124.1573,7.19,94,0,0.0,US,1675914825
38,qaanaaq,77.484,-69.3632,-31.69,64,14,2.71,GL,1675914825
39,tasiilaq,65.6145,-37.6368,-14.91,54,96,4.36,GL,1675914661
40,kodiak,57.79,-152.4072,-4.27,36,0,3.09,US,1675914825
41,abha,18.2164,42.5053,8.14,71,0,0.0,SA,1675914641
42,ponta do sol,32.6667,-17.1,14.84,75,44,3.04,PT,1675914826
43,isangel,-19.55,169.2667,27.06,89,100,4.12,VU,1675914826
44,portland,45.5234,-122.6762,8.39,80,75,1.79,US,1675914506
45,atuona,-9.8,-139.0333,26.22,79,46,10.06,PF,1675914826
46,bethel,41.3712,-73.414,4.5,63,0,2.57,US,1675914827
47,wangou,42.0623,126.9127,-5.47,62,100,1.32,CN,1675914827
48,dikson,73.5069,80.5464,-19.01,85,89,6.12,RU,1675914827
49,iqaluit,63.7506,-68.5145,-33.15,68,0,11.83,CA,1675914827
50,vao,-22.6667,167.4833,26.16,81,100,6.2,NC,1675914828
51,luanda,-8.8368,13.2343,24.0,88,0,2.57,AO,1675914828
52,hithadhoo,-0.6,73.0833,27.54,72,77,4.35,MV,1675914828
53,tevriz,57.509,72.4042,-15.41,95,100,2.89,RU,1675914829
54,bilibino,68.0546,166.4372,-41.5,98,66,0.64,RU,1675914735
55,hirara,24.8,125.2833,24.92,73,40,9.26,JP,1675914829
56,punta arenas,-53.15,-70.9167,9.06,71,0,3.6,CL,1675914614
57,jiblah,13.9216,44.1467,14.19,72,60,0.61,YE,1675914829
58,tiksi,71.6872,128.8694,-39.37,98,59,2.35,RU,1675914829
59,nome,64.5011,-165.4064,-17.96,78,100,3.09,US,1675914767
60,honningsvag,70.9821,25.9704,0.86,86,100,10.8,NO,1675914830
61,mahates,10.2329,-75.1899,25.94,75,19,1.13,CO,1675914830
62,tual,-5.6667,132.75,26.99,81,100,13.64,ID,1675914830
63,vardo,70.3705,31.1107,1.99,75,99,19.55,NO,1675914831
64,vaitape,-16.5167,-151.75,27.35,71,10,3.11,PF,1675914831
65,hasaki,35.7333,140.8333,11.27,37,8,7.94,JP,1675914831
66,mar del plata,-38.0023,-57.5575,20.01,92,0,1.54,AR,1675914831
67,alofi,-19.0595,-169.9187,29.94,70,75,3.6,NU,1675914832
68,nizhneangarsk,55.7833,109.55,-13.72,89,100,0.74,RU,1675914832
69,tuktoyaktuk,69.4541,-133.0374,-37.0,74,20,1.54,CA,1675914832
70,jamestown,42.097,-79.2353,-0.2,92,0,2.57,US,1675914833
71,grand gaube,-20.0064,57.6608,27.43,76,17,1.79,MU,1675914645
72,hovd,48.0056,91.6419,-13.89,73,97,1.29,MN,1675914833
73,ribeira grande,38.5167,-28.7,11.54,80,28,4.02,PT,1675914660
74,new norfolk,-42.7826,147.0587,22.17,40,98,0.89,AU,1675914833
75,bluff,-46.6,168.3333,13.22,56,77,8.33,NZ,1675914833
76,alice springs,-23.7,133.8833,35.75,19,1,5.66,AU,1675914834
77,khatanga,71.9667,102.5,-42.68,99,64,1.71,RU,1675914834
78,pevek,69.7008,170.3133,-34.47,100,100,3.05,RU,1675914834
79,saldanha,-33.0117,17.9442,18.46,79,20,3.57,ZA,1675914565
80,ilulissat,69.2167,-51.1,-21.99,64,20,2.06,GL,1675914835
81,kavieng,-2.5744,150.7967,28.59,71,100,2.75,PG,1675914835
82,flinders,-34.5833,150.8552,22.88,87,100,1.79,AU,1675914835
83,cabo san lucas,22.8909,-109.9124,20.28,46,49,0.77,MX,1675914835
84,ostrovnoy,68.0531,39.5131,0.16,85,100,17.88,RU,1675914836
85,cape town,-33.9258,18.4232,21.32,72,0,2.57,ZA,1675914836
86,baghdad,33.3406,44.4009,3.95,100,0,1.03,IQ,1675914805
87,geraldton,-28.7667,114.6,30.23,45,0,6.69,AU,1675914836
88,severo-kurilsk,50.6789,156.125,-4.79,56,87,9.83,RU,1675914837
89,henderson,36.0397,-114.9819,14.51,32,0,2.06,US,1675914746
90,upernavik,72.7868,-56.1549,-34.6,84,2,3.81,GL,1675914837
